# 10k,20k,40k,60k
8.843999999999999773e+02,8.765499999999999545e+02,8.871000000000000227e+02,8.620333333333333030e+02
8.925000000000000000e+02,8.743500000000000227e+02,8.874500000000000455e+02,8.616333333333333258e+02
8.988999999999999773e+02,8.725499999999999545e+02,8.876749999999999545e+02,8.606166666666666742e+02
8.907999999999999545e+02,8.785499999999999545e+02,8.870000000000000000e+02,8.585000000000000000e+02
8.920000000000000000e+02,8.738999999999999773e+02,8.895750000000000455e+02,8.595499999999999545e+02
8.932999999999999545e+02,8.775499999999999545e+02,8.890750000000000455e+02,8.607999999999999545e+02
9.028999999999999773e+02,8.745499999999999545e+02,8.868750000000000000e+02,8.609833333333333485e+02
8.983999999999999773e+02,8.757500000000000000e+02,8.867000000000000455e+02,8.568500000000000227e+02
8.962000000000000455e+02,8.733500000000000227e+02,8.873500000000000227e+02,8.613833333333333258e+02
8.980000000000000000e+02,8.765499999999999545e+02,8.867250000000000227e+02,8.573166666666667197e+02
