# 10k,20k,40k,60k
9.483812402008970910e-01,9.013588510532952736e-01,9.114738183307039554e-01,8.291775730304600245e-01
9.040301444360382410e-01,8.582540883676055277e-01,8.951793115598629669e-01,8.918361177370461856e-01
9.413962279127872090e-01,8.805394882484437469e-01,8.352940121839378396e-01,8.476669669513258176e-01
9.403538999778593421e-01,8.609824578192586397e-01,9.001670564471702107e-01,8.966201176589712052e-01
9.306021812444995600e-01,8.901477438592728664e-01,9.408118649558264712e-01,8.596006548845215312e-01
9.405710214595099927e-01,8.691448260629746070e-01,8.902776364348005123e-01,8.485164189955149983e-01
9.214176066696884160e-01,8.526117552456987658e-01,8.751400938872485602e-01,8.855796812055979350e-01
9.220016335241492111e-01,9.013538157626712621e-01,8.406127200711823733e-01,8.755424851888701232e-01
8.765058967377855614e-01,8.625820635454217733e-01,9.534396452275183398e-01,9.010986675462223650e-01
9.201281936093597125e-01,9.026839861444198032e-01,8.641045028090245106e-01,8.531159359020966670e-01
