# 10k,20k,40k,60k
8.228716613178590489e-01,8.598867286284841427e-01,8.305039495196603339e-01,8.101024560640706085e-01
8.231072066482800764e-01,8.046146757278664907e-01,8.288241415712808147e-01,8.318428377849701461e-01
8.412634661214236642e-01,8.113250843314926408e-01,8.103763753347111853e-01,8.116427054207242531e-01
8.239717173934921757e-01,7.897127744258611859e-01,8.225543571703783918e-01,8.254533301250940314e-01
8.250522815668529519e-01,8.109073857028948895e-01,8.360951914149139519e-01,8.193489382616577776e-01
8.354145270889284935e-01,8.033370702157464072e-01,8.297641350213134093e-01,7.998744691481118885e-01
8.167280515922769046e-01,7.988780471065966005e-01,8.224431587178950842e-01,8.322156578499606550e-01
8.256788880593475266e-01,8.156358260991921627e-01,8.122732822668148334e-01,8.238668838903616676e-01
8.144870706324671694e-01,8.069651007357382388e-01,8.436429749365300657e-01,8.259897441380524841e-01
8.291442486403238776e-01,8.189793439650268070e-01,8.250583028985744027e-01,8.151907011825018090e-01
