# 10k,20k,40k,60k
9.152000000000000455e+02,8.981499999999999773e+02,8.871000000000000227e+02,8.620333333333333030e+02
9.223999999999999773e+02,8.973500000000000227e+02,8.874500000000000455e+02,8.616333333333333258e+02
9.232000000000000455e+02,8.972999999999999545e+02,8.876749999999999545e+02,8.606166666666666742e+02
9.210000000000000000e+02,8.997999999999999545e+02,8.870000000000000000e+02,8.585000000000000000e+02
9.202999999999999545e+02,8.963500000000000227e+02,8.895750000000000455e+02,8.595499999999999545e+02
9.197999999999999545e+02,9.000499999999999545e+02,8.890750000000000455e+02,8.607999999999999545e+02
9.258999999999999773e+02,8.977500000000000000e+02,8.868750000000000000e+02,8.609833333333333485e+02
9.203999999999999773e+02,8.997999999999999545e+02,8.867000000000000455e+02,8.568500000000000227e+02
9.227000000000000455e+02,8.982999999999999545e+02,8.873500000000000227e+02,8.613833333333333258e+02
9.260000000000000000e+02,8.995499999999999545e+02,8.867250000000000227e+02,8.573166666666667197e+02
