# 10k,20k,40k,60k
1.012536073516099755e+00,1.009294991147588361e+00,9.114738183307039554e-01,8.291775730304600245e-01
1.016334663532113769e+00,9.970309851598937456e-01,8.951793115598629669e-01,8.918361177370461856e-01
1.013409480366604942e+00,1.005768756633645289e+00,8.352940121839378396e-01,8.476669669513258176e-01
1.014382518123419841e+00,1.007460955811989800e+00,9.001670564471702107e-01,8.966201176589712052e-01
1.018366667849306184e+00,1.001073811968133054e+00,9.408118649558264712e-01,8.596006548845215312e-01
1.030210792514444140e+00,9.989764285995450521e-01,8.902776364348005123e-01,8.485164189955149983e-01
1.013085074948771203e+00,9.920913927754346773e-01,8.751400938872485602e-01,8.855796812055979350e-01
1.012364071182136005e+00,1.003879898706358187e+00,8.406127200711823733e-01,8.755424851888701232e-01
1.019012406349331101e+00,1.006414056631049103e+00,9.534396452275183398e-01,9.010986675462223650e-01
1.014498136558922514e+00,1.001072580098224085e+00,8.641045028090245106e-01,8.531159359020966670e-01
