# 10k,20k,40k,60k
8.569180417043986697e-01,8.718356738683632479e-01,8.305039495196603339e-01,8.101024560640706085e-01
8.668647800105824253e-01,8.238707620448390001e-01,8.288241415712808147e-01,8.318428377849701461e-01
8.602468946243855275e-01,8.321518977373529857e-01,8.103763753347111853e-01,8.116427054207242531e-01
8.816377086229724158e-01,8.368589815392021292e-01,8.225543571703783918e-01,8.254533301250940314e-01
8.584555994667856238e-01,8.381115898337617720e-01,8.360951914149139519e-01,8.193489382616577776e-01
8.623137629417220174e-01,8.257289896367712156e-01,8.297641350213134093e-01,7.998744691481118885e-01
8.565344938437352562e-01,8.187926826846836370e-01,8.224431587178950842e-01,8.322156578499606550e-01
8.576115042081589035e-01,8.369424345340421567e-01,8.122732822668148334e-01,8.238668838903616676e-01
8.692750319749280585e-01,8.328376178551916142e-01,8.436429749365300657e-01,8.259897441380524841e-01
8.593107089868377013e-01,8.298983550819196697e-01,8.250583028985744027e-01,8.151907011825018090e-01
