# 10k,20k,40k,60k
8.874253346601301828e-01,9.025259186441765280e-01,8.640278079601866335e-01,8.476514912125769907e-01
8.895659245579865537e-01,8.535845848202080477e-01,8.618438168020079448e-01,8.711896868382853487e-01
8.826792146421822416e-01,8.623083709853498480e-01,8.425189813277756956e-01,8.508557575395524486e-01
9.069831189923679426e-01,8.640595674386959413e-01,8.560703745377056251e-01,8.672786020404018581e-01
8.837097752652548488e-01,8.690645746855767406e-01,8.676968588158873175e-01,8.594826438965436077e-01
8.880670519088129655e-01,8.529462927744573264e-01,8.608849454040415905e-01,8.383730856900146744e-01
8.765936331880144206e-01,8.476628545784653523e-01,8.557619981764341688e-01,8.721697300204148684e-01
8.824576708339813003e-01,8.648652947069609409e-01,8.455369362408710066e-01,8.673596332797004482e-01
8.925222096381814074e-01,8.618195706473061879e-01,8.775244094841399001e-01,8.653773067111398820e-01
8.783920937072525748e-01,8.576814279285994713e-01,8.584106372427077192e-01,8.578922965729254280e-01
